"","Date","Obs","Stand","Site","Transect","Subplot","SubplotComments","PlantGenusSpecies","NumFlowers","NumPlant","Comments","DateRecorded"
"23236","5/30/24","RM","607:Holiday",6,"Mix4",4,"","Sonchus asper",1,1,"","5/30/24"
"23237","5/30/24","RM","607:Holiday",6,"Mix4",12,"","Phlox gracilis",2,1,"","5/30/24"
"23238","5/30/24","RM","607:Holiday",6,"Mix4",8,"","Phlox gracilis",6,9,"","5/30/24"
"23239","5/30/24","RM","607:Holiday",6,"Mix4",8,"","Madia gracilis",1,1,"","5/30/24"
"23240","5/30/24","RM","607:Holiday",6,"Mix5",0,"","Phlox gracilis",9,20,"","5/30/24"
"23241","5/30/24","RM","607:Holiday",6,"Mix5",0,"","Collinsia grandiflora",5,17,"","5/30/24"
"23242","5/30/24","RM","607:Holiday",6,"Mix5",4,"","Phlox gracilis",2,4,"","5/30/24"
"23244","5/30/24","RM","607:Holiday",6,"Mix5",4,"","Collinsia grandiflora",10,16,"","5/30/24"
"23245","5/30/24","RM","607:Holiday",6,"Mix5",4,"","Leucanthemum vulgare",3,3,"","5/30/24"
"23247","5/30/24","RM","607:Holiday",6,"Mix5",8,"","Phlox gracilis",3,11,"","5/30/24"
"23248","5/30/24","RM","607:Holiday",6,"Mix5",8,"","Collinsia grandiflora",5,13,"","5/30/24"
"23250","5/30/24","RM","607:Holiday",6,"Mix5",12,"","Collinsia grandiflora",9,14,"","5/30/24"
"23251","5/30/24","RM","607:Holiday",6,"Mix5",12,"","Hypochaeris radicata",1,1,"","5/30/24"
"23253","5/30/24","RM","607:Holiday",6,"Mix5",12,"","Madia gracilis",1,1,"","5/30/24"
"23254","5/30/24","RM","607:Holiday",6,"Mix6",0,"","Phlox gracilis",5,7,"","5/30/24"
"23255","5/30/24","RM","607:Holiday",6,"Mix6",0,"","Madia gracilis",1,1,"","5/30/24"
"23257","5/30/24","RM","607:Holiday",6,"Mix6",4,"","Phlox gracilis",5,14,"","5/30/24"
"23258","5/30/24","RM","607:Holiday",6,"Mix6",0,"","Phlox gracilis",7,9,"","5/30/24"
"23259","5/30/24","RM","607:Holiday",6,"Mix6",8,"","Madia gracilis",0.2,10,"","5/30/24"
"23260","5/30/24","RM","607:Holiday",6,"Mix6",12,"","Phlox gracilis",5,18,"","5/30/24"
"23261","5/30/24","RM","607:Holiday",6,"Mix6",12,"","Hypochaeris radicata",1,1,"","5/30/24"
"23263","5/30/24","RM","607:Holiday",6,"Mix6",12,"","Sonchus asper",1,1,"","5/30/24"
"23264","5/30/24","RM","607:Holiday",6,"Mix6",12,"","Madia gracilis",0.1,10,"","5/30/24"
"23518","6/1/24","JA","700:Holiday",6,"Mix3",8,"","Collinsia grandiflora",4,5,"700, jasmin","6/1/24"
"23520","6/1/24","JA","700:Holiday",6,"Mix3",0,"","Collinsia grandiflora",2,5,"700, jasmin","6/1/24"
"23522","6/1/24","JA","700:Holiday",6,"Mix3",4,"","Collinsia grandiflora",4,10,"700, jasmin","6/1/24"
"23523","6/1/24","JA","700:Holiday",6,"Mix3",12,"","Collinsia grandiflora",2,5,"700, jasmin","6/1/24"
"23525","6/1/24","JA","700:Holiday",6,"Mix6",4,"","Phlox gracilis",15,15,"700, jasmin","6/1/24"
"23527","6/1/24","JA","700:Holiday",6,"Mix6",12,"","Phlox gracilis",10,17,"700, jasmin","6/1/24"
"23529","6/1/24","JA","700:Holiday",6,"Mix6",8,"","Phlox gracilis",20,14,"700, jasmin","6/1/24"
"23532","6/1/24","JA","700:Holiday",6,"Mix6",0,"","Phlox gracilis",30,17,"700, jasmin","6/1/24"
"23537","6/1/24","JA","700:Holiday",6,"Mix6",0,"","Madia gracilis",0.07,29,"700, jasmin","6/1/24"
"23541","6/1/24","JA","700:Holiday",6,"Mix6",0,"","Gilia capitata",0.03,34,"700, jasmin","6/1/24"
"23546","6/1/24","JA","700:Holiday",6,"Mix4",12,"","Phlox gracilis",12,10,"700, jasmin","6/1/24"
"23548","6/1/24","JA","700:Holiday",6,"Mix4",4,"","Phlox gracilis",5,19,"700, jasmin","6/1/24"
"23549","6/1/24","JA","700:Holiday",6,"Mix4",0,"","Phlox gracilis",10,16,"700, jasmin","6/1/24"
"23550","6/1/24","JA","700:Holiday",6,"Mix4",8,"","Phlox gracilis",5,8,"700, jasmin","6/1/24"
"23552","6/1/24","JA","700:Holiday",6,"Mix2",8,"","Phlox gracilis",25,14,"700, jasmin","6/1/24"
"23556","6/1/24","JA","700:Holiday",6,"Mix2",8,"","Collomia grandiflora",20,7,"700, jasmin","6/1/24"
"23558","6/1/24","JA","700:Holiday",6,"Mix2",8,"","Madia gracilis",0.04,27,"700, jasmin","6/1/24"
"23560","6/1/24","JA","700:Holiday",6,"Mix2",12,"","Phlox gracilis",20,13,"700, jasmin","6/1/24"
"23562","6/1/24","JA","700:Holiday",6,"Mix2",12,"","Collinsia grandiflora",3,4,"700, jasmin","6/1/24"
"23563","6/1/24","JA","700:Holiday",6,"Mix2",0,"","Phlox gracilis",12,27,"700, jasmin","6/1/24"
"23566","6/1/24","JA","700:Holiday",6,"Mix2",0,"","Collinsia grandiflora",15,22,"700, jasmin","6/1/24"
"23569","6/1/24","JA","700:Holiday",6,"Mix2",4,"","Collinsia grandiflora",10,8,"700, jasmin","6/1/24"
"23580","6/1/24","JA","700:Holiday",6,"Mix5",0,"","Collinsia grandiflora",4,12,"700, jasmin","6/1/24"
"23584","6/1/24","JA","700:Holiday",6,"Mix5",8,"","Collinsia grandiflora",6,12,"700, jasmin","6/1/24"
"23588","6/1/24","JA","700:Holiday",6,"Mix5",12,"","Collinsia grandiflora",10,10,"700, jasmin","6/1/24"
"23590","6/1/24","JA","700:Holiday",6,"Mix5",8,"","Sonchus asper",1,1,"700, jasmin","6/1/24"
"23709","6/5/24","Other","702:Holiday",6,"Mix2",0,"","Collinsia grandiflora",1000,18,"702","6/4/24"
"23710","6/5/24","Other","702:Holiday",6,"Mix2",0,"","Phlox gracilis",165,8,"702","6/4/24"
"23711","6/5/24","Other","702:Holiday",6,"Mix2",4,"","Phlox gracilis",36.5,4,"702","6/4/24"
"23712","6/5/24","Other","702:Holiday",6,"Mix2",4,"","Madia gracilis",0.1,20,"702","6/4/24"
"23717","6/5/24","Other","702:Holiday",6,"Mix2",4,"","Collinsia grandiflora",67.5,20,"702","6/4/24"
"23720","6/5/24","Other","702:Holiday",6,"Mix2",12,"","Madia gracilis",0.04,25,"702","6/4/24"
"23721","6/5/24","Other","702:Holiday",6,"Mix2",12,"","Phlox gracilis",9,3,"702","6/4/24"
"23725","6/5/24","Other","702:Holiday",6,"Mix2",12,"","Collinsia grandiflora",40,20,"702","6/4/24"
"23726","6/5/24","Other","702:Holiday",6,"Mix2",8,"","Madia gracilis",0.06,15,"702","6/4/24"
"23727","6/5/24","Other","702:Holiday",6,"Mix2",8,"","Phlox gracilis",10,6,"702","6/4/24"
"23728","6/5/24","Other","702:Holiday",6,"Mix2",8,"","Collinsia grandiflora",80,15,"702","6/4/24"
"23729","6/5/24","RM","702:Holiday",6,"Mix5",0,"","Collinsia grandiflora",400,3,"702","6/4/24"
"23730","6/5/24","RM","702:Holiday",6,"Mix5",4,"","Collinsia grandiflora",60,13,"702","6/4/24"
"23731","6/5/24","Other","702:Holiday",6,"Mix1",12,"","Phlox gracilis",10,2,"702","6/4/24"
"23732","6/5/24","RM","702:Holiday",6,"Mix5",0,"","Collinsia grandiflora",90,9,"702","6/4/24"
"23733","6/5/24","RM","702:Holiday",6,"Mix5",12,"","Collinsia grandiflora",100,10,"702","6/4/24"
"23734","6/5/24","RM","702:Holiday",6,"Mix4",0,"","Phlox gracilis",20,8,"702","6/4/24"
"23735","6/5/24","RM","702:Holiday",6,"Mix4",4,"","Phlox gracilis",16,4,"702","6/4/24"
"23736","6/5/24","Other","702:Holiday",6,"Mix6",0,"","Phlox gracilis",30,8,"702","6/4/24"
"23737","6/5/24","RM","702:Holiday",6,"Mix4",4,"","Madia gracilis",2,10,"702","6/4/24"
"23738","6/5/24","Other","702:Holiday",6,"Mix6",0,"","Collinsia grandiflora",15,2,"702","6/4/24"
"23739","6/5/24","RM","702:Holiday",6,"Mix4",8,"","Phlox gracilis",5,12,"702","6/4/24"
"23740","6/5/24","RM","702:Holiday",6,"Mix4",12,"","Madia gracilis",2,5,"702","6/4/24"
"23741","6/5/24","Other","702:Holiday",6,"Mix6",0,"","Madia gracilis",0.08,12,"702","6/4/24"
"23742","6/5/24","RM","702:Holiday",6,"Mix3",0,"","Collinsia grandiflora",80,5,"702","6/4/24"
"23743","6/5/24","Other","702:Holiday",6,"Mix6",4,"","Phlox gracilis",25,12,"702","6/4/24"
"23744","6/5/24","RM","702:Holiday",6,"Mix3",4,"","Collinsia grandiflora",50,4,"702","6/4/24"
"23745","6/5/24","RM","702:Holiday",6,"Mix3",8,"","Collinsia grandiflora",80,7,"702","6/4/24"
"23746","6/5/24","Other","702:Holiday",6,"Mix6",8,"","Phlox gracilis",30,20,"702","6/4/24"
"23747","6/5/24","RM","702:Holiday",6,"Mix3",12,"","Collinsia grandiflora",100,6,"702","6/4/24"
"23748","6/5/24","Other","702:Holiday",6,"Mix6",8,"","Madia gracilis",0.0763,13,"702","6/4/24"
"23749","6/5/24","Other","702:Holiday",6,"Mix6",12,"","Phlox gracilis",75,8,"702","6/4/24"
"24164","6/6/24","RM","605:Holiday",6,"Mix2",0,"","Phlox gracilis",3,1,"","6/6/24"
"24165","6/6/24","RM","605:Holiday",6,"Mix2",4,"","Phlox gracilis",3,1,"","6/6/24"
"24166","6/6/24","RM","605:Holiday",6,"Mix2",12,"","Collinsia grandiflora",1,2,"","6/6/24"
"24167","6/6/24","RM","605:Holiday",6,"Mix3",4,"","Collinsia grandiflora",4,7,"","6/6/24"
"24168","6/6/24","RM","605:Holiday",6,"Mix3",8,"","Collinsia grandiflora",4,1,"","6/6/24"
"24169","6/6/24","RM","605:Holiday",6,"Mix3",12,"","Collinsia grandiflora",5,9,"","6/6/24"
"24170","6/6/24","RM","605:Holiday",6,"Mix4",0,"","Madia gracilis",1,1,"","6/6/24"
"24171","6/6/24","RM","605:Holiday",6,"Mix4",4,"","Phlox gracilis",20,3,"","6/6/24"
"24172","6/6/24","RM","605:Holiday",6,"Mix5",0,"","Collinsia grandiflora",10,4,"","6/6/24"
"24173","6/6/24","RM","605:Holiday",6,"Mix5",0,"","Collinsia grandiflora",7,7,"","6/6/24"
"24174","6/6/24","RM","605:Holiday",6,"Mix6",8,"","Phlox gracilis",4,1,"","6/6/24"
"24718","6/11/24","RM","611:Holiday",6,"Mix1",4,"","Gilia capitata",1.5,2,"","6/11/24"
"24719","6/11/24","RM","611:Holiday",6,"Mix1",4,"","Senecio vulgaris",35,4,"vulgaris","6/11/24"
"24720","6/11/24","RM","611:Holiday",6,"Mix1",4,"","Clarkia purpurea",1,6,"","6/11/24"
"24721","6/11/24","RM","611:Holiday",6,"Mix1",8,"","Senecio vulgaris",13,6,"vulgaris","6/11/24"
"24722","6/11/24","RM","611:Holiday",6,"Mix1",8,"","Clarkia purpurea",1,2,"","6/11/24"
"24723","6/11/24","RM","611:Holiday",6,"Mix1",12,"","Phlox gracilis",3,6,"","6/11/24"
"24724","6/11/24","RM","611:Holiday",6,"Mix1",8,"","Gilia capitata",1,1,"","6/11/24"
"24725","6/11/24","RM","611:Holiday",6,"Mix1",12,"","Senecio vulgaris",3,1,"","6/11/24"
"24726","6/11/24","RM","611:Holiday",6,"Mix1",12,"","Senecio vulgaris",20,3,"vulgaris","6/11/24"
"24727","6/11/24","RM","611:Holiday",6,"Mix2",0,"","Collinsia grandiflora",5,3,"","6/11/24"
"24728","6/11/24","RM","611:Holiday",6,"Mix2",0,"","Senecio vulgaris",20,5,"vulgaris","6/11/24"
"24729","6/11/24","RM","611:Holiday",6,"Mix2",0,"","Phlox gracilis",6,8,"","6/11/24"
"24730","6/11/24","RM","611:Holiday",6,"Mix2",4,"","Phlox gracilis",11,5,"","6/11/24"
"24731","6/11/24","RM","611:Holiday",6,"Mix2",4,"","Collinsia grandiflora",1,1,"","6/11/24"
"24732","6/11/24","RM","611:Holiday",6,"Mix2",4,"","Senecio vulgaris",40,2,"","6/11/24"
"24733","6/11/24","RM","611:Holiday",6,"Mix2",0,"","Phacelia heterophylla",15,1,"","6/11/24"
"24734","6/11/24","RM","611:Holiday",6,"Mix2",8,"","Collinsia grandiflora",8,6,"","6/11/24"
"24735","6/11/24","RM","611:Holiday",6,"Mix2",8,"","Phlox gracilis",3,1,"","6/11/24"
"24736","6/11/24","RM","611:Holiday",6,"Mix2",12,"","Phlox gracilis",7,2,"","6/11/24"
"24737","6/11/24","RM","611:Holiday",6,"Mix2",12,"","Collinsia grandiflora",1,3,"","6/11/24"
"24738","6/11/24","RM","611:Holiday",6,"Mix3",0,"","Collomia heterophylla",5,6,"","6/11/24"
"24739","6/11/24","RM","611:Holiday",6,"Mix3",0,"","Collomia grandiflora",6,4,"","6/11/24"
"24740","6/11/24","RM","611:Holiday",6,"Mix3",0,"","Phacelia heterophylla",7,1,"","6/11/24"
"24741","6/11/24","RM","611:Holiday",6,"Mix3",4,"","Phacelia heterophylla",40,1,"","6/11/24"
"24742","6/11/24","RM","611:Holiday",6,"Mix3",4,"","Collinsia grandiflora",5,3,"","6/11/24"
"24743","6/11/24","RM","611:Holiday",6,"Mix3",4,"","Collomia heterophylla",8,2,"","6/11/24"
"24744","6/11/24","RM","611:Holiday",6,"Mix3",8,"","Collomia heterophylla",6,2,"","6/11/24"
"24745","6/11/24","RM","611:Holiday",6,"Mix3",8,"","Senecio vulgaris",40,2,"","6/11/24"
"24746","6/11/24","RM","611:Holiday",6,"Mix3",0,"","Collinsia grandiflora",5,2,"","6/11/24"
"24747","6/11/24","RM","611:Holiday",6,"Mix3",12,"","Collomia heterophylla",12,1,"","6/11/24"
"24748","6/11/24","RM","611:Holiday",6,"Mix3",12,"","Senecio vulgaris",30,2,"vulgaris","6/11/24"
"24749","6/11/24","RM","611:Holiday",6,"Mix6",0,"","Leucanthemum vulgare",5,1,"","6/11/24"
"24750","6/11/24","RM","611:Holiday",6,"Mix6",0,"","Collomia heterophylla",6,2,"","6/11/24"
"24751","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Collomia heterophylla",3,2,"","6/11/24"
"24752","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Leucanthemum vulgare",4,1,"","6/11/24"
"24753","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Senecio vulgaris",620,2,"","6/11/24"
"24754","6/11/24","RM","611:Holiday",6,"Mix6",8,"","Collomia heterophylla",1,1,"","6/11/24"
"24755","6/11/24","RM","611:Holiday",6,"Mix6",8,"","Collinsia grandiflora",0.5,8,"","6/11/24"
"24756","6/11/24","RM","611:Holiday",6,"Mix6",12,"","Gilia capitata",1,1,"","6/11/24"
"24757","6/11/24","RM","611:Holiday",6,"Mix6",12,"","Phlox gracilis",0.2,10,"","6/11/24"
"24758","6/11/24","RM","611:Holiday",6,"Mix5",0,"","Collomia heterophylla",2,1,"","6/11/24"
"24759","6/11/24","RM","611:Holiday",6,"Mix5",0,"","Collinsia grandiflora",10,3,"","6/11/24"
"24760","6/11/24","RM","611:Holiday",6,"Mix5",4,"","Collomia grandiflora",2,1,"","6/11/24"
"24761","6/11/24","RM","611:Holiday",6,"Mix5",8,"","Collinsia grandiflora",13,6,"","6/11/24"
"24762","6/11/24","RM","611:Holiday",6,"Mix5",12,"","Collinsia grandiflora",7,3,"","6/11/24"
"24763","6/11/24","RM","611:Holiday",6,"Mix5",12,"","Collomia heterophylla",7,2,"","6/11/24"
"24764","6/11/24","RM","611:Holiday",6,"Mix4",0,"","Phlox gracilis",5,4,"","6/11/24"
"24765","6/11/24","RM","611:Holiday",6,"Mix4",0,"","Clarkia purpurea",1,3,"","6/11/24"
"24766","6/11/24","RM","611:Holiday",6,"Mix4",8,"","Clarkia purpurea",3,1,"","6/11/24"
"24767","6/11/24","RM","611:Holiday",6,"Mix4",8,"","Collomia heterophylla",7,5,"","6/11/24"
"24768","6/11/24","RM","611:Holiday",6,"Mix1",4,"","Collomia heterophylla",10,6,"","6/11/24"
"24769","6/11/24","RM","611:Holiday",6,"Mix1",0,"","Collomia heterophylla",8,1,"","6/11/24"
