,,,,,,OPEN,,,,,CLOSED,,,,,,
WW,611,1,genOnly,CLAPUR,6,1,,,54,,1,,,24,,,
WW,611,1,genOnly,CLAPUR,7,,,,,,1,,,37,,,
WW,611,1,genOnly,CLAPUR,8,1,,,7,,1,,,27,,,
WW,611,1,genOnly,CLAPUR,9,1,,,33,,2,,,100,,,
WW,611,4,genSpec2,CLAPUR,1,1,,,70,,5,,,266,,,
WW,611,4,genSpec2,CLAPUR,2,1,,,67,,1,,,70,,,
WW,611,4,genSpec2,CLAPUR,3,1,,,70,,1,,,67,,,
WW,611,4,genSpec2,CLAPUR,4,1,,,45,,1,,,67,,,
WW,611,4,genSpec2,CLAPUR,5,2,,,36,,2,,,71,,,
WW,611,4,genSpec2,CLAPUR,6,,,,,,8,,,495,,,
WW,611,4,genSpec2,CLAPUR,7,,,,,,6,,,450,,,
WW,611,5,genSpec3,CLAPUR,1,1,,,48,,1,,,45,,,
WW,611,5,genSpec3,CLAPUR,2,,,,,,3,,,65,,,
WW,611,5,genSpec3,CLAPUR,3,1,,,59,,1,,,57,,,
