S,St,M,genSpec,Sp,Fc,Oblooms,OseedsGood,OseedsBad,OseedsTotal,Omass,Cblooms,CseedsGood,CseedsBad,CseedsTotal,Cmass,notesOpen,notesClosed
WW,607,4,genSpec2,CLAAMO,7,5,,,,0.08284,4,,,,0.03193,,
WW,607,4,genSpec2,CLAAMO,8,2,113,43,,0.03893,,,,,,,
WW,607,4,genSpec2,CLAAMO,9,4,,,,0.03323,2,,,,0.0025,,
WW,607,4,genSpec2,CLAAMO,10,3,208,42,250,0.07005,2,68,115,183,0.02721,,
WW,611,1,genOnly,CLAAMO,1,1,23,75,98,0.00632,2,3,127,130,0.00813,,
WW,611,1,genOnly,CLAAMO,2,1,,,,0.00699,1,,,,0.00282,,
WW,611,1,genOnly,CLAAMO,3,,,,,,2,,,,0.00711,fib no open,
WW,611,1,genOnly,CLAAMO,4,2,59,150,209,0.01924,2,63,127,190,0.02095,,
WW,611,1,genOnly,CLAAMO,5,1,11,77,,0.00718,2,15,195,,0.01509,,
WW,611,1,genOnly,CLAAMO,6,1,,,,0.00192,1,,,,0.00295,,
WW,611,1,genOnly,CLAAMO,7,1,,,,0.00609,2,,,,0.00159,,
WW,611,1,genOnly,CLAAMO,8,,,,,,1,,,,0.00178,fib no open,
WW,611,1,genOnly,CLAAMO,9,1,,,,0.00285,1,,,,0.00794,,
WW,611,1,genOnly,CLAAMO,10,1,,,,0.0106,1,,,,0.01658,,
WW,611,3,genSpec1,CLAAMO,1,4,,,,0.15353,2,,,,0.01683,,
WW,611,3,genSpec1,CLAAMO,2,3,252,83,335,0.12817,2,0,170,170,0.0103,,
WW,611,3,genSpec1,CLAAMO,3,2,,,,0.03313,2,,,,0.01099,,
WW,611,3,genSpec1,CLAAMO,4,2,,,,0.03267,1,,,,0.0093,,
WW,611,3,genSpec1,CLAAMO,6,,,,,,5,,,,0.09969,not collected,
WW,611,3,genSpec1,CLAAMO,7,2,,,,0.02113,2,,,,0.00981,no open,
WW,611,3,genSpec1,CLAAMO,8,4,273,139,412,0.13313,2,0,201,201,0.00726,,
WW,611,3,genSpec1,CLAAMO,9,1,,,,0.0093,1,,,,0.00205,,
WW,611,4,genSpec2,CLAAMO,1,3,,,,0.08553,3,,,,0.01511,,
WW,611,4,genSpec2,CLAAMO,2,3,88,133,221,0.02649,1,77,61,138,0.02182,,
WW,611,4,genSpec2,CLAAMO,4,1,115,16,131,,4,,,,0.00985,IN used deductive reasoning to determine that an unlabled sample was this one!,
WW,611,4,genSpec2,CLAAMO,5,1,107,8,115,0.03003,1,0,82,82,0.00421,,
WW,611,4,genSpec2,CLAAMO,6,1,,,,0.01577,2,,,,0.00243,,
WW,611,4,genSpec2,CLAAMO,7,2,191,42,233,0.05886,2,8,202,210,0.01267,,
WW,611,4,genSpec2,CLAAMO,8,4,93,175,268,0.03815,4,124,208,332,0.05666,,
WW,611,4,genSpec2,CLAAMO,9,2,,,,0.0452,1,,,,0.04057,,
WW,611,4,genSpec2,CLAAMO,10,1,,,,0.01209,1,,,,0.0037,,
WW,611,6,genspec4,CLAAMO,1,1,30,78,108,0.01516,1,0,81,81,0.0048,,
WW,611,0,ss,CLAAMO,1,1,,,,0.00105,1,,,,0.02267,,closed is ambient?
WW,611,0,ss,CLAAMO,2,3,199,123,322,0.04051,2,137,38,175,0.03362,,
WW,611,0,ss,CLAAMO,3,2,162,118,,0.05648,2,7,167,,0.02561,,
WW,611,0,ss,CLAAMO,5,,,,,,1,,,,0.00666,not collected,
WW,607,0,,CLAAMO,1,,0,103,103,,,0,0,0,,,
WW,607,0,,CLAAMO,2,,78,153,231,,,,,,,,
